Bigram,Frequency
ст,2.5950640841871437
то,2.430282360256033
но,2.3282499242692545
на,2.1446588243598117
по,1.885687692378422
ен,1.8774311880832943
ни,1.8658777253170051
ко,1.851336959165281
ра,1.8261044106376896
ов,1.7732593827308751
не,1.7383464953083656
ро,1.7054029563516233
пр,1.5118330766059949
ал,1.4913401319723205
го,1.4788171883301575
ре,1.443272691351948
ос,1.4347039997449254
ли,1.3986939348983392
ка,1.3577322826528873
во,1.3308664482467252
ер,1.3161762807510697
та,1.3153196648129843
от,1.2699483215686889
ва,1.2606919496836677
ор,1.2353743907061396
ол,1.2209464894922037
ет,1.1966465236877477
те,1.1896044027136305
ом,1.1608665296758838
ан,1.1468441463954757
ел,1.1237694163098944
од,1.11812616942048
ть,1.0984160444194142
ла,1.0708516773373893
он,1.0644816815376652
ле,1.0581171119368733
ло,1.0537407016248135
ес,1.0411953296937309
ат,1.0361442619811096
ри,1.020244413870185
ль,1.0199987879318573
де,1.0127993071887083
ог,1.0032361741907239
ве,0.9931278890733584
ны,0.9818008796758365
ти,0.9724077675777256
за,0.9661846408957644
ит,0.9451599287667415
ск,0.9357762220801129
да,0.924369990178182
ак,0.884253739726356
ой,0.8797297368033422
ин,0.8626556592435047
ме,0.8487273300779202
ем,0.8459035361536402
ил,0.8447643961244886
че,0.8206496445769159
об,0.8035867811615381
ас,0.8006537397654246
до,0.7803999096313595
мо,0.7677572278660941
ки,0.7456338913266127
тр,0.7297217438314418
ся,0.7240973077649924
ед,0.7002744857199681
со,0.6927743935559793
ми,0.6926441647816082
нн,0.6863226430256778
се,0.6835223626301037
ам,0.676480603402582
ис,0.6737949966777735
ав,0.6693900083846711
же,0.6588537770448583
аз,0.6548604563774068
ма,0.6386842338675389
им,0.6329357187188412
тв,0.6214390501680416
ар,0.6143057690518646
ви,0.6103743070522394
ие,0.5825545468738089
ру,0.5728633555810263
бо,0.5489931447319949
сл,0.5437583097488722
из,0.5407681123906736
вы,0.539428926494224
ди,0.5383606887977855
бы,0.5319143644664162
ия,0.5235319723560632
ик,0.5201677290181431
ег,0.5095989404847374
пе,0.5069003108824919
ив,0.4850222385347428
чт,0.4813342319938724
вс,0.47947630147951137
ей,0.47813892431603927
сь,0.44423567164150113
ок,0.4392540592752111
ьн,0.4288400982846689
ое,0.41982247915266124
ну,0.41851512695661364